iso3_d,hs92,potential_market_imports_sum
ARG,7206,373496424.0
ARG,7207,13820036051.0
ARG,7208,38133561231.0
ARG,7209,6823990720.0
ARG,7210,25703297626.0
ARG,7211,1859467150.0
ARG,7212,3173293172.0
ARG,7213,6609542163.0
ARG,7214,10911458106.0
ARG,7215,1085406344.0
ARG,7216,7225161958.0
ARG,7217,3219023378.0
ARG,7218,1778781536.0
ARG,7219,18296359291.0
ARG,7220,3015479357.0
ARG,7221,898096741.0
ARG,7222,4213762702.0
ARG,7223,1472257570.0
ARG,7224,2117392002.0
ARG,7225,17657955544.0
ARG,7226,2966874714.0
ARG,7227,2269184928.0
ARG,7228,4928783057.0
ARG,7229,1436957650.0
ARG,7301,935362981.0
ARG,7302,1897023711.0
ARG,7303,981136608.0
ARG,7304,12999807649.0
ARG,7305,3928526791.0
ARG,7306,10557883114.0
ARG,7307,10455050238.0
ARG,7308,34498257984.0
ARG,7309,2102699065.0
ARG,7310,3832445320.0
ARG,7311,2126016324.0
ARG,7312,4271741267.0
ARG,7313,129316615.0
ARG,7314,2798718220.0
ARG,7315,2645818718.0
ARG,7316,98780623.0
ARG,7317,1603896019.0
ARG,7318,20255821651.0
ARG,7319,180987119.0
ARG,7320,3605566961.0
ARG,7321,5575187085.0
ARG,7322,1432237319.0
ARG,7323,7865322797.0
ARG,7324,1828690426.0
ARG,7325,3153439946.0
ARG,7326,39673002913.0
ARG,7401,539668301.0
ARG,7402,9925693587.0
ARG,7403,37994595658.0
ARG,7404,16342169029.0
ARG,7405,147930384.0
ARG,7406,391294977.0
ARG,7407,4099180083.0
ARG,7408,13460449835.0
ARG,7409,6058986294.0
ARG,7410,2236694219.0
ARG,7411,5684781232.0
ARG,7412,2689591536.0
ARG,7413,1318291730.0
ARG,7415,815906188.0
ARG,7416,2510991485.0
ARG,7418,489714637.0
ARG,7419,405347143.0
ARG,7501,4662964765.0
ARG,7502,7405466793.0
ARG,7503,721713350.0
ARG,7504,501010708.0
ARG,7505,3336021537.0
ARG,7506,1168764802.0
ARG,7507,947270230.0
ARG,7508,2193805668.0
ARG,7601,47549096050.0
ARG,7602,10309098720.0
ARG,7603,423729360.0
ARG,7604,8648656254.0
ARG,7605,2409260357.0
ARG,7606,19638863982.0
ARG,7607,8950462355.0
ARG,7608,998812980.0
ARG,7609,498279062.0
ARG,7610,10228352243.0
ARG,7611,134450943.0
ARG,7612,2292209542.0
ARG,7613,405482653.0
ARG,7614,1007173224.0
ARG,7615,2825361241.0
ARG,7616,13313059940.0
ARG,7801,4446578961.0
ARG,7802,309680262.0
ARG,7804,279239797.0
ARG,7806,185424308.0
ARG,7901,8370416129.0
ARG,7902,353885986.0
ARG,7903,309867022.0
ARG,7904,101879875.0
ARG,7905,342310631.0
ARG,7907,654862860.0
ARG,8001,3126395706.0
ARG,8002,124782359.0
ARG,8003,256860728.0
ARG,8007,180796178.0
ARG,8101,916561888.0
